"","variable","importance"
"1","OverallQual",0.416
"2","Neighborhood",0.192
"3","GrLivArea",0.109
"4","GarageCars",0.038
"5","FirstFlrSF",0.033
"6","KitchenQual",0.025
"7","GarageArea",0.019
"8","MSSubClass",0.019
"9","LotArea",0.013
"10","OverallCond",0.012
"11","BsmtFinType1",0.011
"12","GarageType",0.01
"13","CentralAir",0.01
"14","Exterior2nd",0.01
"15","FireplaceQu",0.007
"16","GarageYrBlt",0.007
"17","SaleCondition",0.006
"18","Exterior1st",0.006
"19","BsmtQual",0.006
"20","BsmtFullBath",0.006
"21","YearRemodAdd",0.005
"22","MSZoning",0.004
"23","BsmtExposure",0.004
"24","LotFrontage",0.004
"25","TotRmsAbvGrd",0.004
"26","ExterCond",0.003
"27","Fireplaces",0.003
"28","YearBuilt",0.002
"29","GarageFinish",0.002
"30","Condition1",0.002
"31","ExterQual",0.002
"32","HeatingQC",0.002
"33","MoSold",0.001
"34","SaleType",0.001
"35","BedroomAbvGr",0.001
"36","YrSold",0.001
"37","LotConfig",0.001
"38","PavedDrive",0.001
"39","Fence",0.001
"40","FullBath",0.001
"41","LotShape",0.001
"42","MasVnrType",0
"43","Foundation",0
"44","RoofStyle",0
"45","BldgType",0
"46","HalfBath",0
"47","HouseStyle",0
"48","Electrical",0
"49","BsmtHalfBath",0
"50","MiscFeature",0
"51","Alley",0
"52","PoolQC",0
